imgurl,title,author,description,price,gender,isbn,year,pages,ratio,editorial
lapaginaqueescribimos,La página que escribimos,Gustavo Espejo Landauro,"Este libro de poemas reúne textos que nos retratan el amor más tierno, el afecto familiar, los recuerdos y la amistad.",20,Poesía,9786124289637,2021,60,14:21,Vicio Perpetuo Vicio Perfecto
lascallesdemialma,Las calles de mi alma,Melec Laguna Boza,"Este libro contiene poemas dedicados al padre ausente del autor, a su tierra natal de Paramonga, a su familia, a sus amigos y a sus luchas sindicales.",20,Poesía,9786124289637,2021,60,14:21,Vicio Perpetuo Vicio Perfecto
linda,Linda,César Carbonel Cabrera,"La novela transcurre en Tarapoto y cuenta la historia de una estudiante que se enamora de su maestro, juntos recorren la selva del Perú y Ecuador en un memorable auto. La trama está enriquecida con elementos sobrenaturales y la magia que rodea estos lugares.",30,Narrativa,9786124289637,2021,130,14:21,Vicio Perpetuo Vicio Perfecto
masalladondetodonace,"Más allá, donde todo nace",Max Cristian Huamán Pérez,"Este libro cuenta con 17 relatos que nos sumergen en el mundo andino, donde destacan la descripción detallada de una fiesta patronal, la historia de un joven que es obligado a casarse y sufre numerosos castigos, la narración de dos jóvenes enamorados con un final mágico y terrorífico, y un relato que cuenta la historia de unos niños que son víctimas de un matón, pero que logran cobrar venganza de manera ingeniosa.",40,Narrativa,9786124289637,2021,146,14:21,Vicio Perpetuo Vicio Perfecto
misdecimasyyo,Mis décimas y yo,Gustavo Espejo Landauro,"La décima es un género lírico originario de España, que ha llegado hasta nosotros a través de la conquista. Entre los autores de décimas destacados se encuentran políticos, Zambo Cavero, Facundo Cabral, entre otros.",20,Poesía,9786124289637,2020,80,14:21,Vicio Perpetuo Vicio Perfecto
mutilada,Mutilada,Gustavo Espejo Landauro,"El poemario es una poderosa manifestación emocional en la que la poeta expresa su desasosiego, descontento, decepción amorosa y una vorágine de sensaciones intensas.",20,Poesía,9786124289637,2021,60,14:21,Vicio Perpetuo Vicio Perfecto
oidossordos,Oídos Sordos,Julio Benavides Parra,"Esta novela nos lleva de regreso al tiempo de la dictadura para narrar una gran historia: la vida de Alcides Chinchorro, el dilema de Anita y la relación entre María y José.",20,Narrativa,9786124289637,2021,79,14:21,Vicio Perpetuo Vicio Perfecto
paramiamantesustituta,Para mi amante sustituta,Ricardo Alonso More Juárez,"Liam conoce a Lizan, su amor ideal, pero sus errores al seducir a otras mujeres lo llevan a terminar de manera violenta su relación con ella. La aparición de muchas otras mujeres que seduce lo llevan a ser visto como un escritor maldito sin suerte en el amor.",50,Narrativa,9786124289637,2021,250,14 x 21,Vicio Perpetuo Vicio Perfecto
sacrificiodeamor,Sacrificio de amor,Ángelo Torres,"Este libro de poemas aborda temas como el amor, el sufrimiento, el dolor y la muerte.",20,Poesía,9786124289637,2022,40,14 x 21,Vicio Perpetuo Vicio Perfecto
sensaciones,Sensaciones I,Nelson Cardoza,"Estos 3 relatos te transportarán a la etapa más tierna de la vida, donde el amor adolescente y juvenil son protagonistas junto a otros temas relevantes de esta época.",20,Poesía,9786124289637,2021,57,14 x 21,Vicio Perpetuo Vicio Perfecto
sinfonialirica,Sinfonía Lírica,Muestra de poesía total,"Nuestro sello presenta esta antología anual con 61 poetas de todas las generaciones, desde la del 40 hasta la más reciente del 2020. Son multitemáticos.",40,Poesía,9786124289637,2020,240,14 x 21,Vicio Perpetuo Vicio Perfecto
sobresaltadosueno,Sobresaltado sueño,Antología de sueños y pesadillas,"Este libro consta de 36 relatos que exploran el tema recurrente y perturbador de las pesadillas en nuestra vida cotidiana. A través del terror y el suspenso, cada historia te llevará a un mundo de sueños oscuros y perturbadores.",40,Poesía,9786124289637,2021,200,14 x 21,Ediciones Infinito
todaslasvoces,Todas las voces,Muestra de poesía mundial,.,40,Poesía,9786124289637,2021,188,14 x 21,Vicio Perpetuo Vicio Perfecto
vertigo,Vértigo,Marco Martos,"Este libro de poemas está dedicado a la naturaleza, a los animales, al amor y al mundo antiguo. El poeta es como un orfebre que nos muestra en estos textos la fuerza de su poética.",20,Poesía,9786124289637,2020,60,14 x 18,Vicio Perpetuo Vicio Perfecto
vespertilio,Vespertilio,Marco Martos,"Son poemas barrocos y exquisitos en homenaje al cine, al ajedrez y al Perù.",20,Poesía,9786124289637,2021,60,14 x 21,Vicio Perpetuo Vicio Perfecto
vozcelestial,Antología Voz Celestial Poesía Total,Colección Bicentenario,"Esta antología recoge una selección de los mejores poemas de autores de Hispanoamérica desde la generación del 60 hasta la más reciente generación 2020, ofreciendo lo mejor de su lírica en este libro.",30,Poesía,9786124289637,2022,168,14 x 21,Vicio Perpetuo Vicio Perfecto
presenciatenebrosa,Presencia Tenebrosa,Varios Autores,"Esta antología es una colección de textos de destacados autores de Hispanoamérica, incluyendo voces literarias de Cuba, España, Venezuela y Perú. Estos escritores, con edades que abarcan desde los 20 hasta los 80 años, han tejido historias donde el horror, el suspenso, lo trágico, el temor, lo policial y lo psicológico se entrelazan en cada relato. La intensidad de esta narrativa sin duda dejará una impresión perdurable en su vida.",30,Poesía,9786124921582,2023,146,14 x 21,Vicio Perpetuo Vicio Perfecto
elsentirdelavida,El sentir de la vida,Elizabeth Caballero,"Soñar con un amor imposible, amar intensamente, besar a la madre, recordar a su padre y tener a Dios como el súmmum de todo en la vida son perspectivas que este poemario abarca.",40,Poesía,9786124921568,2023,91,14 x 21,Vicio Perpetuo Vicio Perfecto
podcastersperuanos,Podcasters Peruanos en Cuarentena,Luis Enrique Mendoza,Mediante la plataforma de los podcasters recorreremos las experiencias de cada uno de nosotros en tres días cruciales en la vida de cada uno de nosotros.,40,Poesía,9786124921568,2023,101,14 x 21,Vicio Perpetuo Vicio Perfecto
rumboalinfinitodelapropiavoz,Rumbo al infinito de la propia voz,Gonzalo Dávila,"Este poemario es vanguardista, moderno, atrevido, inventa nuevas formas de explorar la poesía, juega con el sonido, alterna voces guturales, onomatopéyicas y se expande como un mundo en crecimiento para cernir en su contenido la historia de la humanidad, personajes y religiones.",50,Poesía,9786124921575,2023,301,14 x 21,Vicio Perpetuo Vicio Perfecto
lamelancolia,La Melancolía,Gonzalo Dávila,Este poemario con línea narrativa desarrolla en su mayoría texto de aliento largo a manera de grandes frazadas de palabras la sociedad y los personajes típicos de varios parajes del mundo.,40,Poesía,9786124921544,2023,251,14 x 21,Vicio Perpetuo Vicio Perfecto
lasfronterasdelsueno,Las fronteras del sueño,Gonzalo Dávila,"Esta antología recoge una selección de los mejores poemas de autores de Hispanoamérica desde la generación del 60 hasta la más reciente generación 2020, ofreciendo lo mejor de su lírica en este libro.",20,Poesía,9786124921551,2023,68,14 x 21,Vicio Perpetuo Vicio Perfecto
tansoloentretuyyo,Tan solo entre tú y yo,María Campos,"El amor, el sexo, el erotismo, la sensualidad, lo intenso, lo ardiente y el encuentro carnal en todas sus variables está expresado en este gran poemario.",40,Poesía,9786124921513,2023,111,14 x 21,Vicio Perpetuo Vicio Perfecto
